group,crosswalk_id,veh_delay_mean_baseline,veh_delay_mean_smart,local_500m_avg_delay_sec_baseline,local_500m_avg_delay_sec_smart,surrounding_road_delay_sec_baseline,surrounding_road_delay_sec_smart,local_500m_queue_proxy_baseline,local_500m_queue_proxy_smart,safety_risk_score_baseline,safety_risk_score_smart,very_risky_crossing_count_baseline,very_risky_crossing_count_smart,accident_risk_estimate_baseline,accident_risk_estimate_smart,pet_mean_baseline,pet_mean_smart,veh_delay_mean_impr,local_500m_avg_delay_sec_impr,surrounding_road_delay_sec_impr,local_500m_queue_proxy_impr,safety_risk_score_impr,very_risky_crossing_count_impr,accident_risk_estimate_impr,pet_mean_impr,score1_delay_impr,score2_tradeoff,rank_score1,rank_score2
current_main_12,NODE_167173,38.791,38.246,39.231492795077735,38.71123182176028,39.231492795077735,38.71123182176028,27.525136612021857,26.966666666666672,0.3083333333333333,0.3083333333333333,2.8,2.8,0.3083333333333333,0.3083333333333333,9.436000000000003,9.331333333333337,1.4,1.33,1.33,2.03,0.0,0.0,0.0,-1.11,1.5215,0.4422,11,17
current_main_12,NODE_10335,38.791,38.246,39.231492795077735,38.71123182176028,39.231492795077735,38.71123182176028,27.525136612021857,26.966666666666672,0.3083333333333333,0.3083333333333333,2.8,2.8,0.3083333333333333,0.3083333333333333,9.436000000000003,9.331333333333337,1.4,1.33,1.33,2.03,0.0,0.0,0.0,-1.11,1.5215,0.4422,11,17
p1_p4_recovery_6,NODE_5938,18.35695652173913,18.516086956521736,18.83750722537182,19.066449541233514,18.83750722537182,19.066449541233514,6.622950819672132,6.601568068424802,1.556521739130435,1.5521739130434782,7.695652173913044,7.695652173913044,1.556521739130435,1.5521739130434782,2.281159420289854,2.306280193236715,-0.87,-1.22,-1.22,0.32,0.28,0.0,0.28,1.1,-0.7437,-0.0485,19,19
generated_signal_7,LINK_212169,41.68266666666668,42.26066666666668,42.094040492386725,42.56878590942189,42.094040492386725,42.56878590942189,48.353005464480866,46.95737704918032,1.6816666666666669,1.68,16.2,16.2,1.6816666666666669,1.68,1.125833333333332,1.121833333333332,-1.39,-1.13,-1.13,2.89,0.1,0.0,0.1,-0.36,-0.189,-0.0992,17,20
generated_signal_7,NODE_6082,41.68266666666668,42.26066666666668,42.094040492386725,42.56878590942189,42.094040492386725,42.56878590942189,48.353005464480866,46.95737704918032,1.6816666666666669,1.68,16.2,16.2,1.6816666666666669,1.68,1.125833333333332,1.121833333333332,-1.39,-1.13,-1.13,2.89,0.1,0.0,0.1,-0.36,-0.189,-0.0992,17,20
signal_fix_9,NODE_9634,33.927,34.309333333333335,34.277349011704935,34.67630728129597,34.277349011704935,34.67630728129597,23.448633879781426,23.68142076502733,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,-1.13,-1.16,-1.16,-0.99,0.0,0.0,0.0,0.0,-1.1119,-0.4448,20,22
generated_signal_7,NODE_6123,43.25266666666666,44.175,43.685312224849,44.55010436565107,43.685312224849,44.55010436565107,44.83551912568306,44.13989071038252,1.34,1.34,6.4,6.4,1.34,1.34,3.3916666666666657,3.3899999999999997,-2.13,-1.98,-1.98,1.55,0.0,0.0,0.0,-0.05,-1.135,-0.4614,21,23
p1_p4_recovery_6,NODE_5647,35.18,35.61260869565217,35.57785059048304,35.97430503492922,35.57785059048304,35.97430503492922,24.342124019957236,24.807555238774057,1.0,1.0,5.0,5.0,1.0,1.0,0.0052173913043477,0.0052173913043477,-1.23,-1.11,-1.11,-1.91,0.0,0.0,0.0,0.0,-1.3426,-0.537,22,24
p1_p4_recovery_6,NODE_14937,38.288260869565214,38.847391304347816,38.61749078875644,39.19123598016487,38.61749078875644,39.19123598016487,45.41696364932288,47.794012829650754,1.0,1.0,5.0,5.0,1.0,1.0,0.0182608695652173,0.0182608695652173,-1.46,-1.49,-1.49,-5.23,0.0,0.0,0.0,0.0,-2.4164,-0.9666,23,25
signal_fix_9,LINK_10218,38.91166666666667,40.108666666666664,39.2970356597374,40.49827177644131,39.2970356597374,40.49827177644131,48.51530054644808,51.019672131147544,1.0,1.0,15.0,15.0,1.0,1.0,0.0,0.0,-3.08,-3.06,-3.06,-5.16,0.0,0.0,0.0,0.0,-3.588,-1.4352,25,27
signal_fix_9,LINK_140740,38.91166666666667,40.108666666666664,39.2970356597374,40.49827177644131,39.2970356597374,40.49827177644131,48.51530054644808,51.019672131147544,1.0,1.0,15.0,15.0,1.0,1.0,0.0,0.0,-3.08,-3.06,-3.06,-5.16,0.0,0.0,0.0,0.0,-3.588,-1.4352,25,27
signal_fix_9,NODE_10378,38.91166666666667,40.108666666666664,39.2970356597374,40.49827177644131,39.2970356597374,40.49827177644131,48.51530054644808,51.019672131147544,1.0,1.0,15.0,15.0,1.0,1.0,0.0,0.0,-3.08,-3.06,-3.06,-5.16,0.0,0.0,0.0,0.0,-3.588,-1.4352,25,27
current_main_12,NODE_150723,37.86966666666667,39.498666666666665,38.274499354297056,39.93177923153251,38.274499354297056,39.93177923153251,44.91584699453553,48.434972677595624,1.0,1.0,15.0,15.0,1.0,1.0,0.0,0.0,-4.3,-4.33,-4.33,-7.83,0.0,0.0,0.0,0.0,-5.1991,-2.0796,29,30
current_main_12,NODE_10377,37.86966666666667,39.498666666666665,38.274499354297056,39.93177923153251,38.274499354297056,39.93177923153251,44.91584699453553,48.434972677595624,1.0,1.0,15.0,15.0,1.0,1.0,0.0,0.0,-4.3,-4.33,-4.33,-7.83,0.0,0.0,0.0,0.0,-5.1991,-2.0796,29,30
current_main_12,NODE_10376,37.86966666666667,39.498666666666665,38.274499354297056,39.93177923153251,38.274499354297056,39.93177923153251,44.91584699453553,48.434972677595624,1.0,1.0,15.0,15.0,1.0,1.0,0.0,0.0,-4.3,-4.33,-4.33,-7.83,0.0,0.0,0.0,0.0,-5.1991,-2.0796,29,30
current_main_12,NODE_10381,16.23633333333333,18.063666666666663,16.5497929376908,18.474873420016383,16.5497929376908,18.474873420016383,10.78743169398907,12.03606557377049,0.7166666666666666,0.72,3.466666666666667,3.466666666666667,0.7166666666666666,0.72,24.75,24.683,-11.25,-11.63,-11.63,-11.57,-0.47,0.0,-0.47,-0.27,-11.5234,-4.7895,34,32
current_main_12,NODE_8369,11.452333333333334,11.249333333333333,11.482444994148665,11.374874018690576,11.482444994148665,11.374874018690576,5.798907103825138,5.933333333333334,1.177777777777778,1.0666666666666669,17.566666666666666,16.0,1.177777777777778,1.0666666666666669,0.0874074074074074,0.0,1.77,0.94,0.94,-2.32,9.43,8.92,9.43,-100.0,0.332,-10.6992,15,33
current_main_12,LINK_120139,11.452333333333334,11.249333333333333,11.482444994148665,11.374874018690576,11.482444994148665,11.374874018690576,5.798907103825138,5.933333333333334,1.177777777777778,1.0666666666666669,17.566666666666666,16.0,1.177777777777778,1.0666666666666669,0.0874074074074074,0.0,1.77,0.94,0.94,-2.32,9.43,8.92,9.43,-100.0,0.332,-10.6992,15,33
