crosswalk_id,person_id,depart,route_from_edge,route_to_edge,crossing_edge_id,generated_route_edges,contains_crossing_edge,detected_crossing_presence,reason
NODE_5647,ped_4_2_NODE_5647,87.6,1461316096#1,333969025#1,:10974501473_c0,1461316096#1|:10974501473_w1|:10974501473_c0|:10974501473_w0|333969025#1,True,True,road_in_route_path
NODE_6342,ped_5_2_NODE_6342,87.6,-1499619438#1,1499619438#1,:11203041633_c0,-1499619438#1|:11203041633_w1|:11203041633_c0|:11203041633_w0|1499619438#1,True,True,road_in_route_path
NODE_5938,ped_6_0_NODE_5938,88.6,1084408283#1,1084408283#2,:5851251266_c0,1084408283#1|:5851251266_w0|:5851251266_c0|:5851251266_w1|1084408283#2,True,True,road_in_route_path
NODE_10060,ped_1_3_NODE_10060,89.6,1209133881#0,-781985788#0,:11203052964_c0,1209133881#0|:11203052964_w1|:11203052964_c0|:11203052964_w0|-781985788#0,True,True,road_in_route_path
NODE_122781,ped_2_3_NODE_122781,89.6,345046979#5,-345046979#5,:11203041635_c0,345046979#5|:11203041635_w1|:11203041635_c0|:11203041635_w0|-345046979#5,True,True,road_in_route_path
NODE_14937,ped_3_3_NODE_14937,89.6,1201492610#1,183272312#3,:11139418723_c0,1201492610#1|:11139418723_w1|:11139418723_c0|:11139418723_w0|183272312#3,True,True,road_in_route_path
NODE_5647,ped_4_3_NODE_5647,89.6,1461316096#1,333969025#1,:10974501473_c0,1461316096#1|:10974501473_w1|:10974501473_c0|:10974501473_w0|333969025#1,True,True,road_in_route_path
NODE_6342,ped_5_3_NODE_6342,89.6,-1499619438#1,1499619438#1,:11203041633_c0,-1499619438#1|:11203041633_w1|:11203041633_c0|:11203041633_w0|1499619438#1,True,True,road_in_route_path
NODE_5938,ped_6_1_NODE_5938,90.6,1084408283#1,1084408283#2,:5851251266_c0,1084408283#1|:5851251266_w0|:5851251266_c0|:5851251266_w1|1084408283#2,True,True,road_in_route_path
NODE_10060,ped_1_4_NODE_10060,91.6,1209133881#0,-781985788#0,:11203052964_c0,1209133881#0|:11203052964_w1|:11203052964_c0|:11203052964_w0|-781985788#0,True,True,road_in_route_path
NODE_122781,ped_2_4_NODE_122781,91.6,345046979#5,-345046979#5,:11203041635_c0,345046979#5|:11203041635_w1|:11203041635_c0|:11203041635_w0|-345046979#5,True,True,road_in_route_path
NODE_14937,ped_3_4_NODE_14937,91.6,1201492610#1,183272312#3,:11139418723_c0,1201492610#1|:11139418723_w1|:11139418723_c0|:11139418723_w0|183272312#3,True,True,road_in_route_path
NODE_5647,ped_4_4_NODE_5647,91.6,1461316096#1,333969025#1,:10974501473_c0,1461316096#1|:10974501473_w1|:10974501473_c0|:10974501473_w0|333969025#1,True,True,road_in_route_path
NODE_6342,ped_5_4_NODE_6342,91.6,-1499619438#1,1499619438#1,:11203041633_c0,-1499619438#1|:11203041633_w1|:11203041633_c0|:11203041633_w0|1499619438#1,True,True,road_in_route_path
NODE_5938,ped_6_2_NODE_5938,92.6,1084408283#1,1084408283#2,:5851251266_c0,1084408283#1|:5851251266_w0|:5851251266_c0|:5851251266_w1|1084408283#2,True,True,road_in_route_path
NODE_5938,ped_6_3_NODE_5938,94.6,1084408283#1,1084408283#2,:5851251266_c0,1084408283#1|:5851251266_w0|:5851251266_c0|:5851251266_w1|1084408283#2,True,True,road_in_route_path
NODE_5938,ped_6_4_NODE_5938,96.6,1084408283#1,1084408283#2,:5851251266_c0,1084408283#1|:5851251266_w0|:5851251266_c0|:5851251266_w1|1084408283#2,True,True,road_in_route_path
