crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic,risk_score,is_alive_in_sumo_network,sumo_crosswalk_alive_status,sumo_alive_source,phase6_ready_confirmed
NODE_6425,126.980952454655,37.55478197888991,회현동1가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_5681,126.96922106504655,37.55536079124497,봉래동2가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,1,6,33,0.3333333333333333,2.0,0.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
LINK_194891,126.98199101991293,37.56050303087396,회현동2가,회현동,4.0,104.0,50.0,0.2946596858638743,0,40.375,1,0,0,1,0.0,0.0,0.0,10.09375,0.5226903601824856,False,GEOMETRY_REJECT,geometry_reject_or_manual_hold.csv,False
LINK_22103,126.98009887303236,37.559554574319264,회현동1가,회현동,3.0,104.0,50.0,0.2946596858638743,0,30.092,1,0,0,0,0.0,0.0,0.0,7.522999999999996,0.517974101722376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_6127,126.98003559481428,37.55968043293475,회현동1가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,0,0.0,3.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_6137,126.97610040165176,37.55854916686609,남창동,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_6210,126.97696642320416,37.55617727429849,남창동,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,3,0.0,2.0,0.0,5.218999999999998,0.5174203884513376,True,RED_ONLY_PHASE_FIX_NEEDED,red_only_phase_fix_batch01_run/red_only_phase_fix_results.csv|red_only_phase_fix_batch02_run/red_only_phase_fix_results.csv|red_only_phase_fix_35_run/red_only_phase_fix_results.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False
NODE_73917,126.97632479240742,37.55349269675808,남대문로5가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,6,13,26,0.2307692307692307,2.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_73919,126.97633350631496,37.55323297895264,남대문로5가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,10,13,28,0.1538461538461538,2.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_6155,126.97993765013776,37.559637248482936,회현동1가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,0,0.0,3.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_10262,126.98091318891164,37.56221627135859,남대문로3가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,1,0.0,4.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_10381,126.9764525015268,37.55415182026164,남대문로5가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,1,9,18,0.5555555555555556,4.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_10382,126.976424483047,37.55349426337558,남대문로5가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,6,13,24,0.2307692307692307,2.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_10383,126.97648672653058,37.55501002744776,남대문로5가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,3,4,9,0.75,2.0,0.0,5.218999999999998,0.5174203884513376,True,RED_ONLY_PHASE_FIX_NEEDED,red_only_phase_fix_batch01_run/red_only_phase_fix_results.csv|red_only_phase_fix_batch02_run/red_only_phase_fix_results.csv|red_only_phase_fix_35_run/red_only_phase_fix_results.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False
NODE_6084,126.97654070912051,37.55703424628606,남창동,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_122781,126.9807695416317,37.56184321742557,남대문로3가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,1,0.0,4.0,0.0,5.218999999999998,0.5174203884513376,,NOT_PROCESSED_OR_UNKNOWN,,False
LINK_224750,126.98014092710716,37.55971359146248,회현동1가,회현동,2.0,104.0,50.0,0.2946596858638743,0,19.966,1,0,0,0,0.0,0.0,0.0,4.991499999999999,0.5139045551828963,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_9650,126.97593370014896,37.55844843756216,남창동,회현동,1.0,104.0,50.0,0.2946596858638743,0,10.438,1,0,0,0,0.0,2.0,0.0,2.609499999999999,0.5121565541570424,True,RED_ONLY_PHASE_FIX_NEEDED,red_only_phase_fix_batch01_run/red_only_phase_fix_results.csv|red_only_phase_fix_batch02_run/red_only_phase_fix_results.csv|red_only_phase_fix_35_run/red_only_phase_fix_results.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False
NODE_6419,126.98186817925348,37.560005700173136,회현동2가,회현동,1.0,104.0,50.0,0.2946596858638743,0,10.438,1,0,0,1,0.0,3.0,0.0,2.609499999999999,0.5121565541570424,,NOT_PROCESSED_OR_UNKNOWN,,False
