crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic,risk_score,source_crosswalk_id,canonical_crosswalk_id,is_restored_in_sumo_network,sumo_restored_source,crossing_present,walkingarea_present,tlLogic_present,ped_link_indices,ped_has_green,ped_has_red,traci_status,route_smoke_status,final_verdict,runtime_status,registry_crosswalk_id,sumo_restored_level,phase6_ready_confirmed
NODE_6122,126.9783167,37.5588288,¨ì°½,__,3,104,50,0.294659686,0,31.314,1,0,0,0,0,2,0,7.8285,15.33575072,NODE_6122,6122,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10376,126.9691775,37.55521377,ë´__2ê°,__,3,104,50,0.294659686,0,31.314,1,2,6,34,0.333333333,2,0,7.8285,15.33575072,NODE_10376,10376,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[4],TRUE,TRUE,,,,,NODE_10376,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
NODE_10378,126.9692235,37.55529304,ë´__2ê°,__,3,104,50,0.294659686,0,31.314,1,2,6,34,0.333333333,2,0,7.8285,15.33575072,NODE_10378,10378,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_150723,126.9691971,37.55516251,ë´__2ê°,__,3,104,50,0.294659686,0,31.314,1,2,7,35,0.428571429,2,0,7.8285,15.33575072,NODE_150723,150723,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_5681,126.9692211,37.55536079,ë´__2ê°,__,3,104,50,0.294659686,0,31.314,1,1,6,33,0.333333333,2,0,7.8285,15.33575072,NODE_5681,5681,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_125895,127.0113222,37.55370169,__,ì²µ¬,2,104,60,0.247846802,0,20.876,1,0,0,0,0,3,0,5.219,15.13239275,NODE_125895,125895,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[9],TRUE,TRUE,,,,,NODE_125895,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
NODE_6212,126.9771935,37.5561407,¨ì°½,__,4,104,40,0.294659686,0,41.752,1,0,0,3,0,4,0,10.438,15.13133322,NODE_6212,6212,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10262,126.9809132,37.56221627,¨ëë¬¸ë_3ê°,__,2,104,50,0.294659686,0,20.876,1,0,0,1,0,4,0,5.219,15.08492087,NODE_10262,10262,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_122781,126.9807695,37.56184322,¨ëë¬¸ë_3ê°,__,2,104,50,0.294659686,0,20.876,1,0,0,1,0,4,0,5.219,15.08492087,NODE_122781,122781,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10381,126.9764525,37.55415182,¨ëë¬¸ë_5ê°,__,2,104,50,0.294659686,0,20.876,1,1,9,18,0.555555556,4,0,5.219,15.08492087,NODE_10381,10381,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[11],TRUE,TRUE,,,,,NODE_10381,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
