crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic
NODE_15219,126.96620987698371,37.55864286893693,중림동,중림동,1.0,104,30.0,0.1901991313611407,0,10.438,0,1,1,14,1.0,,0.0,2.609499999999999
NODE_15225,126.96912015216694,37.55726676175663,중림동,중림동,3.0,104,50.0,0.1901991313611407,0,31.314,1,0,1,2,0.0,3.0,0.0,7.828499999999998
NODE_9068,127.01974129797449,37.568438677207425,황학동,황학동,1.0,104,30.0,0.1717813302883243,0,10.438,1,0,0,0,0.0,4.0,0.0,2.609499999999999
NODE_9076,127.01795583249212,37.568326824345675,황학동,황학동,1.0,104,30.0,0.1717813302883243,0,10.438,1,0,0,0,0.0,2.0,0.0,2.609499999999999
NODE_9096,127.01905761894812,37.5707753771344,황학동,황학동,1.0,104,30.0,0.1717813302883243,0,10.438,1,6,26,63,0.4230769230769231,4.0,0.0,2.609499999999999
NODE_9097,127.0189829034485,37.570931009076126,황학동,황학동,1.0,104,30.0,0.1717813302883243,0,10.438,1,15,30,75,0.36666666666666664,4.0,0.0,2.609499999999999
NODE_9098,127.01931641520402,37.57088747294607,황학동,황학동,1.0,104,30.0,0.1717813302883243,0,10.438,1,2,25,70,0.44,4.0,0.0,2.609499999999999
NODE_9103,127.01977791491795,37.56556656656162,신당동,청구동,3.0,104,50.0,0.2478468022723108,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998
NODE_9105,127.01979522542737,37.56579541666139,황학동,황학동,1.0,104,30.0,0.1717813302883243,0,10.438,1,0,0,0,0.0,4.0,0.0,2.609499999999999
NODE_9115,127.01959679042506,37.565566596765024,신당동,청구동,3.0,104,50.0,0.2478468022723108,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998
NODE_10148,127.00574468075006,37.5601580453782,장충동1가,장충동,3.0,104,50.0,0.17818315828266076,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998
NODE_10173,127.01191863431467,37.56094451479095,신당동,청구동,1.0,104,30.0,0.2478468022723108,0,10.438,1,0,0,0,0.0,2.0,0.0,2.609499999999999
NODE_10174,127.01350947749431,37.56027979914668,신당동,청구동,1.0,104,30.0,0.2478468022723108,0,10.438,1,0,0,0,0.0,4.0,0.0,2.609499999999999
NODE_10175,127.01364175324932,37.560474309164924,신당동,청구동,1.0,104,30.0,0.2478468022723108,0,10.438,1,0,0,0,0.0,4.0,0.0,2.609499999999999
NODE_8021,127.00674827852667,37.54771861287365,신당동,청구동,2.0,104,50.0,0.2478468022723108,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_8022,127.00665344309263,37.54790627828809,신당동,청구동,2.0,104,50.0,0.2478468022723108,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_8024,127.00666049957991,37.547693025774905,신당동,청구동,2.0,104,50.0,0.2478468022723108,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_8026,127.00653270104704,37.547667132913844,신당동,청구동,2.0,104,50.0,0.2478468022723108,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_8028,127.00729291289382,37.54723913196679,신당동,청구동,,,,0.2478468022723108,0,,0,0,0,0,0.0,,,
NODE_8029,127.00729003303401,37.54718191871419,신당동,청구동,,,,0.2478468022723108,0,,0,0,0,0,0.0,,,
NODE_8030,127.00699686721242,37.54730322892141,신당동,청구동,,,,0.2478468022723108,0,,0,0,0,0,0.0,,,
NODE_8031,127.00708022813139,37.54737188006751,신당동,청구동,,,,0.2478468022723108,0,,0,0,0,0,0.0,,,
NODE_9117,127.01956234797312,37.56578630135818,황학동,황학동,3.0,104,50.0,0.1717813302883243,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
NODE_8051,127.01003078896665,37.569554415109316,신당동,청구동,2.0,104,30.0,0.2478468022723108,0,20.876,1,0,13,45,0.46153846153846156,4.0,0.0,5.218999999999998
NODE_8052,127.00999918041822,37.56968944097246,신당동,청구동,2.0,104,30.0,0.2478468022723108,0,20.876,1,3,13,54,0.46153846153846156,4.0,0.0,5.218999999999998
NODE_8061,127.01154288268023,37.56804613645737,신당동,청구동,2.0,104,30.0,0.2478468022723108,0,20.876,0,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_8062,127.01142498172759,37.56789968206082,신당동,청구동,2.0,104,40.0,0.2478468022723108,0,20.876,0,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_8064,127.00997376266817,37.568793651058506,을지로6가,광희동,2.0,104,40.0,0.18015591778880227,0,20.876,0,0,0,15,0.0,3.0,0.0,5.218999999999998
NODE_8065,127.0098555114737,37.5685870873947,을지로6가,광희동,2.0,104,30.0,0.18015591778880227,0,20.876,0,0,0,12,0.0,3.0,0.0,5.218999999999998
