crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic
137973,127.00215341892462,37.57353369522703,연지동,종로5·6가동,2.0,104,50.0,0.2035585258750063,0,21.134,1,12,22,54,0.5,4.0,0.0,5.2835
137974,127.00192390291659,37.57353844407461,연지동,종로5·6가동,1.0,104,50.0,0.2035585258750063,0,10.567,1,13,23,55,0.4782608695652174,2.0,0.0,2.64175
134929,126.98763788707592,37.56840521462853,관철동,종로1·2·3·4가동,4.0,104,50.0,0.2035585258750063,0,42.268,1,23,38,148,0.631578947368421,4.0,0.0,10.567
134930,126.98762598257447,37.5688782408583,관철동,종로1·2·3·4가동,4.0,104,50.0,0.2035585258750063,0,42.268,0,11,54,212,0.6296296296296297,2.0,0.0,10.567
134931,126.98783597790182,37.5683981750929,관철동,종로1·2·3·4가동,3.0,104,50.0,0.2035585258750063,0,31.701,1,21,39,141,0.5641025641025641,4.0,0.0,7.925249999999998
136032,126.99728494659321,37.58928327999955,명륜1가,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,1,2,4,36,0.0,4.0,0.0,2.64175
136033,126.99739732955258,37.58921974174874,명륜1가,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,1,2,5,36,0.0,3.0,0.0,2.64175
136047,126.9983170659704,37.58968572416661,명륜1가,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,0,4,15,25,0.3333333333333333,2.0,0.0,2.64175
138001,127.00221306671118,37.57465585909565,효제동,종로5·6가동,2.0,104,50.0,0.2035585258750063,0,21.134,1,7,21,76,0.42857142857142855,2.0,0.0,5.2835
138171,126.99932883066448,37.570745203251576,종로4가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,2,21.134,1,16,39,90,0.6153846153846154,2.0,0.0,5.2835
138186,127.00213657001885,37.57065266054209,종로5가,종로5·6가동,4.0,104,50.0,0.2035585258750063,1,42.268,1,15,43,149,0.5813953488372093,2.0,0.0,10.567
136374,126.99680628799918,37.57902495283795,연건동,이화동,2.0,104,50.0,0.19666097015906403,0,21.134,1,12,17,35,0.17647058823529413,,0.0,5.2835
136375,126.99667026712851,37.5790178889804,연건동,이화동,4.0,104,50.0,0.19666097015906403,1,42.268,1,12,14,31,0.21428571428571427,,0.0,10.567
88637,126.98515167097035,37.582023279802705,가회동,가회동,2.0,104,30.0,0.2460958535271944,0,21.134,0,2,4,16,0.25,2.0,0.0,5.2835
136376,126.99664660219557,37.57922027781728,연건동,이화동,3.0,104,50.0,0.19666097015906403,2,19.461,1,10,13,26,0.23076923076923078,,0.0,4.86525
88638,126.98499198658386,37.5820279663389,가회동,가회동,2.0,104,30.0,0.2460958535271944,0,21.134,0,2,4,15,0.25,2.0,0.0,5.2835
136377,126.99653720326526,37.579010825052904,와룡동,종로1·2·3·4가동,4.0,104,50.0,0.2035585258750063,0,42.268,1,12,13,24,0.23076923076923078,,0.0,10.567
137416,127.00232354269058,37.58068541414759,동숭동,이화동,3.0,104,50.0,0.19666097015906403,0,31.701,1,9,27,129,0.4444444444444444,2.0,0.0,7.925249999999998
136949,126.99991785727715,37.587119488434375,명륜1가,혜화동,1.0,104,30.0,0.15025660017988465,1,10.567,0,7,20,54,0.3,2.0,0.0,2.64175
159538,127.0155852140631,37.5746271265355,창신동,창신3동,2.0,104,40.0,0.2333962858042178,2,21.134,1,30,43,120,0.5581395348837209,2.0,0.0,5.2835
156464,126.97638288898624,37.57575777810552,세종로,청운효자동,,,,0.20798109262794293,0,,0,5,20,38,0.4,,,
156495,127.015415922103,37.57634011063492,창신동,창신3동,2.0,104,40.0,0.2333962858042178,1,21.134,1,9,21,55,0.38095238095238093,2.0,0.0,5.2835
156496,127.01565458704314,37.57636983006322,숭인동,숭인2동,2.0,104,30.0,0.16723489815543316,0,21.134,1,8,22,54,0.36363636363636365,2.0,0.0,5.2835
157625,126.97666556773544,37.57006032847879,세종로,청운효자동,3.0,103,50.0,0.20798109262794293,0,31.701,1,22,49,102,0.5714285714285714,2.0,0.0,7.925249999999998
