run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_10,generated_signal_7,LINK_212169,10.0,baseline,1381.875,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,40.75,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16557.0,778.0,3464.0,,,,0.5702353504154523,0.0,0.0,508.0,5.223558620444174,157.87490868761003,41.01143203043929,52.34426229508197,684.0,3464.0,21.0,1.0,20.0,13.0,4.0,3.0,17.0,170.0,340.0,0.0,0.0,1.1499999999999964,2.0,1.5,0.0,0.0,0.0,0.0,0.0,40.75,,41.01143203043929,,,,1.5,1.5,0.0,0.0,0.0
smart_10,generated_signal_7,LINK_212169,10.0,smart,1404.472,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,42.39,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16557.0,837.0,3463.0,,,,0.574716143907426,0.0,0.0,493.0,5.544507228858929,155.73501078943212,42.51181720813995,50.24590163934426,659.0,3463.0,21.0,1.0,20.0,13.0,4.0,3.0,17.0,170.0,340.0,0.0,0.0,1.0999999999999956,2.0,1.5,0.0,0.0,0.0,0.0,0.0,42.39,,42.51181720813995,,,,1.5,1.5,0.0,1.0,5.0
baseline_11,generated_signal_7,LINK_212169,11.0,baseline,1364.661,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,37.51,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16670.0,854.0,3470.0,,,,0.5811110627746118,0.0,0.0,471.0,6.5930287783218455,159.7773038816409,37.92963048498845,34.704918032786885,440.0,3470.0,21.0,1.0,20.0,20.0,0.0,0.0,20.0,200.0,400.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,37.51,,37.92963048498845,,,,2.0,2.0,0.0,0.0,0.0
smart_11,generated_signal_7,LINK_212169,11.0,smart,1405.551,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,47.03,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16670.0,808.0,3467.0,,,,0.5778483490668639,0.0,0.0,356.0,4.764655598832623,171.31720451813274,47.539874183401885,41.68852459016394,452.0,3467.0,21.0,1.0,20.0,20.0,0.0,0.0,20.0,200.0,400.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,47.03,,47.539874183401885,,,,2.0,2.0,0.0,1.0,5.0
baseline_12,generated_signal_7,LINK_212169,12.0,baseline,1383.792,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,54.72,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16416.0,785.0,3470.0,,,,0.5644059685909427,0.0,0.0,532.0,3.1655441073906574,184.03127026277983,55.35733568815441,94.2622950819672,706.0,3470.0,21.0,1.0,20.0,10.0,2.0,8.0,12.0,120.0,240.0,0.0,0.0,2.9449999999999954,2.0,1.1,0.0,0.0,0.0,0.0,0.0,54.72,,55.35733568815441,,,,1.1,1.1,0.0,0.0,0.0
smart_12,generated_signal_7,LINK_212169,12.0,smart,1421.249,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,58.05,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16416.0,785.0,3469.0,,,,0.5641449514943229,0.0,0.0,463.0,3.226135692577786,182.13329915421951,58.58287720303769,85.8688524590164,528.0,3469.0,21.0,1.0,20.0,10.0,2.0,8.0,12.0,120.0,240.0,0.0,0.0,2.9349999999999943,2.0,1.1,0.0,0.0,0.0,0.0,0.0,58.05,,58.58287720303769,,,,1.1,1.1,0.0,1.0,5.0
baseline_13,generated_signal_7,LINK_212169,13.0,baseline,1399.563,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,43.16,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16670.0,877.0,3474.0,,,,0.5771958063253143,0.0,0.0,465.0,5.293425010344151,172.3175612051641,43.29454136184581,47.40983606557377,557.0,3474.0,21.0,1.0,20.0,16.0,3.0,1.0,19.0,190.0,380.0,0.0,0.0,0.559999999999998,2.0,1.75,0.0,0.0,0.0,0.0,0.0,43.16,,43.29454136184581,,,,1.75,1.75,0.0,0.0,0.0
smart_13,generated_signal_7,LINK_212169,13.0,smart,1376.0,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,43.07,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16670.0,853.0,3470.0,,,,0.5764562578848914,0.0,0.0,460.0,5.142578424921625,170.67992062314673,43.13327677224736,46.868852459016395,587.0,3470.0,21.0,1.0,20.0,16.0,3.0,1.0,19.0,190.0,380.0,0.0,0.0,0.559999999999998,2.0,1.75,0.0,0.0,0.0,0.0,0.0,43.07,,43.13327677224736,,,,1.75,1.75,0.0,1.0,5.0
baseline_14,generated_signal_7,LINK_212169,14.0,baseline,1408.101,600.0,0.0,0.1,5.0,6000.0,307.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,37.36,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16475.0,837.0,3473.0,,,,0.5697133162222126,0.0,0.0,464.0,6.658287913989178,144.22135159303417,37.79167816091954,36.60655737704918,482.0,3473.0,21.0,1.0,20.0,20.0,0.0,0.0,20.0,200.0,400.0,0.0,0.0,0.0850000000000001,2.0,2.0,0.0,0.0,0.0,0.0,0.0,37.36,,37.79167816091954,,,,2.0,2.0,0.0,0.0,0.0
smart_14,generated_signal_7,LINK_212169,14.0,smart,1381.56,600.0,0.0,0.1,5.0,6000.0,307.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,38.21,99.9,1.0,7.0,3480.0,3480.0,1.0,1.0,16475.0,856.0,3472.0,,,,0.5708443903075652,0.0,0.0,471.0,6.764578261533486,140.44008539209142,38.336047535211264,37.967213114754095,527.0,3472.0,21.0,1.0,20.0,20.0,0.0,0.0,20.0,200.0,400.0,0.0,0.0,0.0850000000000001,2.0,2.0,0.0,0.0,0.0,0.0,0.0,38.21,,38.336047535211264,,,,2.0,2.0,0.0,1.0,5.0
