crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic,risk_score,source_crosswalk_id,canonical_crosswalk_id,is_restored_in_sumo_network,sumo_restored_source,crossing_present,walkingarea_present,tlLogic_present,ped_link_indices,ped_has_green,ped_has_red,traci_status,route_smoke_status,final_verdict,runtime_status,registry_crosswalk_id,sumo_restored_level,phase6_ready_confirmed
NODE_73917,126.97632479240742,37.55349269675808,남대문로5가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,6,13,26,0.2307692307692307,2.0,0.0,5.218999999999998,14.626331786859996,NODE_73917,73917,True,phase6_ready_candidates_total_FINAL_237.csv,True,True,True,[11],True,True,,,,,NODE_73917,RESTORED_SIGNAL_STRUCTURE_OK,False
NODE_10382,126.976424483047,37.55349426337558,남대문로5가,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,6,13,24,0.2307692307692307,2.0,0.0,5.218999999999998,14.626331786859996,NODE_10382,10382,True,phase6_ready_candidates_total_FINAL_237.csv,True,True,True,[11],True,True,,,,,NODE_10382,RESTORED_SIGNAL_STRUCTURE_OK,False
NODE_6210,126.97696642320416,37.55617727429849,남창동,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,3,0.0,2.0,0.0,5.218999999999998,14.626331786859996,NODE_6210,6210,True,phase6_ready_candidates_total_FINAL_237.csv,True,True,True,[2],True,True,,,,,NODE_6210,RESTORED_SIGNAL_STRUCTURE_OK,False
NODE_6137,126.97610040165176,37.55854916686609,남창동,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998,14.626331786859996,NODE_6137,6137,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_6084,126.97654070912051,37.55703424628606,남창동,회현동,2.0,104.0,50.0,0.2946596858638743,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998,14.626331786859996,NODE_6084,6084,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_3009,127.01080134435064,37.554609714202186,신당동,청구동,4.0,104.0,50.0,0.2478468022723108,0,38.615,1,0,0,0,0.0,0.0,0.0,9.653749999999995,14.625120742822668,LINK_3009,3009,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_178464,127.01052759337544,37.55497876509786,신당동,청구동,4.0,104.0,50.0,0.2478468022723108,0,40.033,1,0,0,0,0.0,0.0,0.0,10.008249999999997,14.564826715941804,LINK_178464,178464,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_256826,126.97649165450642,37.55348348994647,남대문로5가,회현동,2.0,104.0,50.0,0.2946596858638743,0,12.109,1,6,13,23,0.2307692307692307,0.0,0.0,3.0272499999999987,14.548570975158947,LINK_256826,256826,True,phase6_ready_candidates_total_FINAL_237.csv,True,True,True,[11],True,True,,,,,LINK_256826,RESTORED_SIGNAL_STRUCTURE_OK,False
LINK_268226,126.96717398423417,37.56588360530098,충정로1가,소공동,1.0,103.0,50.0,0.0977272727272727,0,17.065,1,3,61,117,0.5245901639344263,0.0,0.0,4.266249999999999,14.543391734280393,LINK_268226,268226,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_9494,127.02194057271991,37.56537909712678,신당동,청구동,3.0,104.0,50.0,0.2478468022723108,0,31.314,1,0,0,10,0.0,3.0,0.0,7.828499999999998,14.47678564731981,NODE_9494,9494,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_126178,127.0124968716483,37.56481349107212,신당동,청구동,3.0,104.0,50.0,0.2478468022723108,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998,14.47678564731981,NODE_126178,126178,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_9115,127.01959679042506,37.565566596765024,신당동,청구동,3.0,104.0,50.0,0.2478468022723108,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998,14.47678564731981,NODE_9115,9115,True,phase6_ready_candidates_total_FINAL_237.csv,True,True,True,[2],True,True,,,,,NODE_9115,RESTORED_SIGNAL_STRUCTURE_OK,False
NODE_9103,127.01977791491797,37.56556656656162,신당동,청구동,3.0,104.0,50.0,0.2478468022723108,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998,14.47678564731981,NODE_9103,9103,True,phase6_ready_candidates_total_FINAL_237.csv,True,True,True,[2],True,True,,,,,NODE_9103,RESTORED_SIGNAL_STRUCTURE_OK,False
NODE_8086,127.01084376321182,37.56466037251213,신당동,청구동,3.0,104.0,50.0,0.2478468022723108,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998,14.47678564731981,NODE_8086,8086,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_8083,127.01087833923845,37.56518673130687,신당동,청구동,3.0,104.0,50.0,0.2478468022723108,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998,14.47678564731981,NODE_8083,8083,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_83815,126.9765328514106,37.55414634762921,남대문로5가,회현동,2.0,104.0,50.0,0.2946596858638743,0,14.252,1,1,9,18,0.5555555555555556,0.0,0.0,3.5630000000000006,14.458022144305184,LINK_83815,83815,True,phase6_ready_candidates_total_FINAL_237.csv,True,True,True,[11],True,True,,,,,LINK_83815,RESTORED_SIGNAL_STRUCTURE_OK,False
LINK_117132,126.98228114494142,37.56043488489525,회현동2가,회현동,3.0,104.0,50.0,0.2946596858638743,0,41.277,1,0,0,1,0.0,0.0,0.0,10.319249999999997,14.444138460091528,LINK_117132,117132,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_6471,126.98780214442544,37.566338305073984,을지로2가,명동,3.0,104.0,50.0,0.2357627618766598,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998,14.4272514067914,NODE_6471,6471,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_23050,126.98960911886464,37.56610331107596,을지로2가,명동,3.0,104.0,50.0,0.2357627618766598,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998,14.4272514067914,NODE_23050,23050,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_6453,126.98762127291864,37.56479810550779,저동1가,명동,3.0,104.0,50.0,0.2357627618766598,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998,14.4272514067914,NODE_6453,6453,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
