source_crosswalk_id,canonical_crosswalk_id,registry_crosswalk_id,id_mapping_method,id_mapping_confidence,crossing_edge,tls_id,from_edge,to_edge,match_distance_m,registry_status,implementation_status,runnable_for_signal_extension,crossing_lon,crossing_lat,original_csv_lon,original_csv_lat
LINK_8035,LINK_8035,,unmatched,none,,,,,,,,,,,,
NODE_8426,8426,8426,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,511.52228096887194,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0109559,37.55473271
NODE_8369,8369,8369,exact_strip_NODE,high,:3846533327_c2,3846533327,420317538#1,381452140#1,598.16061106127,patched_unsignalized,ready_for_simulation,True,127.01227232844946,37.55923713983198,127.0116327,37.55385957
LINK_153517,LINK_153517,,unmatched,none,,,,,,,,,,,,
LINK_212169,LINK_212169,,unmatched,none,,,,,,,,,,,,
LINK_239875,LINK_239875,,unmatched,none,,,,,,,,,,,,
NODE_125895,125895,125895,exact_strip_NODE,high,:3846533327_c2,3846533327,420317538#1,381452140#1,618.6005338885083,patched_unsignalized,ready_for_simulation,True,127.01227232844946,37.55923713983198,127.0113222,37.55370169
LINK_239754,LINK_239754,,unmatched,none,,,,,,,,,,,,
LINK_140740,LINK_140740,,unmatched,none,,,,,,,,,,,,
LINK_249048,LINK_249048,,unmatched,none,,,,,,,,,,,,
LINK_10218,LINK_10218,,unmatched,none,,,,,,,,,,,,
LINK_188162,LINK_188162,,unmatched,none,,,,,,,,,,,,
LINK_274692,LINK_274692,,unmatched,none,,,,,,,,,,,,
LINK_106979,LINK_106979,,unmatched,none,,,,,,,,,,,,
LINK_80550,LINK_80550,,unmatched,none,,,,,,,,,,,,
LINK_84563,LINK_84563,,unmatched,none,,,,,,,,,,,,
LINK_165020,LINK_165020,,unmatched,none,,,,,,,,,,,,
LINK_281061,LINK_281061,,unmatched,none,,,,,,,,,,,,
LINK_118297,LINK_118297,,unmatched,none,,,,,,,,,,,,
LINK_274222,LINK_274222,,unmatched,none,,,,,,,,,,,,
LINK_193845,LINK_193845,,unmatched,none,,,,,,,,,,,,
LINK_110312,LINK_110312,,unmatched,none,,,,,,,,,,,,
NODE_57526,57526,,unmatched,none,,,,,,,,,,,,
LINK_211844,LINK_211844,,unmatched,none,,,,,,,,,,,,
NODE_8452,8452,8452,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,396.7339569407702,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0090416,37.55665524
