crosswalk_id,sumo_crosswalk_alive_status,is_alive_in_sumo_network,phase6_ready_confirmed,sumo_alive_source,in_ready_candidates,in_red_only_phase_fix,in_unsignalized_crosswalks,in_tls_creation_candidates,in_geometry_reject,in_manual_review
LINK_258548,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_219774,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_236544,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_93982,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_131058,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_181677,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_68503,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6926,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_10352,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_122039,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_9852,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_6693,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6692,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_9722,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_9851,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_95381,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_222495,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_112802,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_165081,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_177144,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_229603,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_184061,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_79766,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5814,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_165046,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5655,UNSIGNALIZED_CROSSWALK,True,False,unsignalized_crosswalks.csv|geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,True,False,False,False
