file_path,size_mb,file_type,suggested_action,reason,safe_to_delete,keep_reason_if_any
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_16/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_16/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_17/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_17/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_18/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_18/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_19/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_19/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_20/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_20/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_21/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_21/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_22/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_22/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_23/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_23/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_24/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_24/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_25/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_25/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_26/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
