crosswalk_id,is_restored_in_sumo_network,sumo_restored_level,phase6_ready_confirmed,sumo_restored_source,in_final_237,in_integrity_237
LINK_268226,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9830,False,NOT_IN_RESTORED_237,False,,False,False
NODE_67359,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9832,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9833,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7349,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7346,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7347,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7358,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6939,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7365,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6942,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6941,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7341,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9820,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7530,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7343,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7342,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7350,False,NOT_IN_RESTORED_237,False,,False,False
LINK_207236,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_25583,False,NOT_IN_RESTORED_237,False,,False,False
LINK_122540,False,NOT_IN_RESTORED_237,False,,False,False
LINK_100038,False,NOT_IN_RESTORED_237,False,,False,False
LINK_84414,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_265692,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_150250,False,NOT_IN_RESTORED_237,False,,False,False
LINK_97674,False,NOT_IN_RESTORED_237,False,,False,False
LINK_148830,False,NOT_IN_RESTORED_237,False,,False,False
LINK_196213,False,NOT_IN_RESTORED_237,False,,False,False
LINK_211702,False,NOT_IN_RESTORED_237,False,,False,False
LINK_130177,False,NOT_IN_RESTORED_237,False,,False,False
LINK_222242,False,NOT_IN_RESTORED_237,False,,False,False
LINK_41242,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10335,False,NOT_IN_RESTORED_237,False,,False,False
NODE_167173,False,NOT_IN_RESTORED_237,False,,False,False
LINK_246134,False,NOT_IN_RESTORED_237,False,,False,False
LINK_263058,False,NOT_IN_RESTORED_237,False,,False,False
LINK_196815,False,NOT_IN_RESTORED_237,False,,False,False
NODE_72235,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9097,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9096,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9443,False,NOT_IN_RESTORED_237,False,,False,False
NODE_151,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_9444,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10368,False,NOT_IN_RESTORED_237,False,,False,False
NODE_137963,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9068,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9105,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_9076,False,NOT_IN_RESTORED_237,False,,False,False
NODE_164569,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9098,False,NOT_IN_RESTORED_237,False,,False,False
NODE_137,False,NOT_IN_RESTORED_237,False,,False,False
NODE_8596,False,NOT_IN_RESTORED_237,False,,False,False
NODE_8438,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_8587,False,NOT_IN_RESTORED_237,False,,False,False
NODE_8061,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_10363,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_10366,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_8613,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_8614,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_73341,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9634,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5647,False,NOT_IN_RESTORED_237,False,,False,False
LINK_101145,False,NOT_IN_RESTORED_237,False,,False,False
LINK_138395,False,NOT_IN_RESTORED_237,False,,False,False
LINK_159607,False,NOT_IN_RESTORED_237,False,,False,False
NODE_8191,False,NOT_IN_RESTORED_237,False,,False,False
NODE_8184,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_20739,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_21805,False,NOT_IN_RESTORED_237,False,,False,False
LINK_53546,False,NOT_IN_RESTORED_237,False,,False,False
LINK_241836,False,NOT_IN_RESTORED_237,False,,False,False
LINK_227486,False,NOT_IN_RESTORED_237,False,,False,False
LINK_16484,False,NOT_IN_RESTORED_237,False,,False,False
LINK_202359,False,NOT_IN_RESTORED_237,False,,False,False
LINK_185781,False,NOT_IN_RESTORED_237,False,,False,False
LINK_53935,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_153649,False,NOT_IN_RESTORED_237,False,,False,False
LINK_239353,False,NOT_IN_RESTORED_237,False,,False,False
LINK_41337,False,NOT_IN_RESTORED_237,False,,False,False
LINK_64757,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_54426,False,NOT_IN_RESTORED_237,False,,False,False
LINK_254465,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6830,False,NOT_IN_RESTORED_237,False,,False,False
LINK_64385,False,NOT_IN_RESTORED_237,False,,False,False
LINK_137452,False,NOT_IN_RESTORED_237,False,,False,False
