group,crosswalk_id,scenario,seed,pedestrian_crossing_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_avg_delay_sec,network_avg_delay_sec,network_arrived_vehicles,local_500m_avg_delay_sec,local_500m_vehicle_count,local_500m_mean_speed,total_vehicle_arrivals,extension_count,total_extension_sec,pedestrian_green_extension_count,pet_event_count,low_pet_event_count,low_pet_per_100_crossings,pet_min,pet_p10,pet_mean,very_risky_crossing_count,risky_crossing_count,safety_risk_score,accident_risk_estimate,accident_expected_value,elderly_incomplete_crossings,run_label,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,expected_ped_repeat_count,veh_delay_max,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_mean_time_loss,local_500m_queue_proxy,local_500m_stop_count,surrounding_lane_count,vehicle_bbox_coverage,safe_crossing_count,low_pet_per_100_conflict_candidates,pet_coverage_ratio,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length
current_main_12,LINK_120139,baseline,11.0,15.0,0.0,0.0,,,14.83,14.83,,854.0,14.657398101619208,336.0,12.820171359118536,3464.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_11,1458.646,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,100.0,12.0,3480.0,3480.0,1.0,1.0,16669.0,3464.0,,,0.5824596511071475,0.0,0.0,61.32324402198893,7.081967213114754,154.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,14.657398101619208,,,
current_main_12,LINK_120139,smart,11.0,15.0,0.0,0.0,,,14.12,14.12,,816.0,14.01391982182628,344.0,13.054814235092326,3463.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_11,1442.598,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,89.3,12.0,3480.0,3480.0,1.0,1.0,16669.0,3463.0,,,0.5786314003567233,0.0,0.0,63.869286634289594,6.622950819672131,142.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,14.01391982182628,,,
current_main_12,LINK_120139,baseline,12.0,15.0,0.0,0.0,,,9.86,9.86,,763.0,9.978442028985508,370.0,13.71943839972988,3466.0,0.0,0.0,0.0,18.0,16.0,106.66666666666669,0.0,0.0,0.5833333333333341,15.0,1.0,1.0333333333333334,1.0333333333333334,1.0333333333333334,0.0,baseline_12,1486.087,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,83.4,12.0,3480.0,3480.0,1.0,1.0,16412.0,3466.0,,,0.5642319571931962,0.0,0.0,35.95665266684625,5.491803278688525,137.0,167.0,1.0,2.0,123.07692307692308,1.2,,,,,,,9.978442028985508,,,
current_main_12,LINK_120139,smart,12.0,15.0,0.0,0.0,,,9.94,9.94,,780.0,10.121610660486676,369.0,13.06200071409024,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_12,1468.988,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,92.9,12.0,3480.0,3480.0,1.0,1.0,16412.0,3466.0,,,0.5644059685909427,0.0,0.0,39.36327487850151,5.770491803278689,154.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,10.121610660486676,,,
current_main_12,LINK_120139,baseline,13.0,15.0,0.0,0.0,,,14.44,14.44,,829.0,14.343316966721222,366.0,12.34927830899644,3467.0,0.0,0.0,0.0,18.0,15.0,100.0,0.0,0.0,0.7000000000000005,15.0,0.0,1.0,1.0,1.0,0.0,baseline_13,1497.936,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,100.0,12.0,3480.0,3480.0,1.0,1.0,16673.0,3467.0,,,0.5728455213816505,0.0,0.0,51.01456492994621,8.049180327868852,168.0,167.0,1.0,3.0,115.3846153846154,1.2,,,,,,,14.343316966721222,,,
current_main_12,LINK_120139,smart,13.0,15.0,0.0,0.0,,,11.3,11.3,,840.0,11.567758923346986,368.0,13.38004372209331,3468.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_13,1422.755,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,87.1,12.0,3480.0,3480.0,1.0,1.0,16673.0,3468.0,,,0.5744551268108061,0.0,0.0,44.58328379394137,6.245901639344262,157.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,11.567758923346986,,,
current_main_12,LINK_120139,baseline,14.0,15.0,0.0,0.0,,,13.41,13.41,,862.0,13.333333333333334,325.0,12.813367743324754,3470.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_14,1484.796,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,100.0,12.0,3480.0,3480.0,1.0,1.0,16487.0,3470.0,,,0.5733240527254535,0.0,0.0,49.92105152813401,6.344262295081967,130.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,13.333333333333334,,,
current_main_12,LINK_120139,smart,14.0,15.0,0.0,0.0,,,9.45,9.45,,867.0,9.785339168490154,318.0,14.21434588306847,3473.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_14,1425.787,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,66.0,12.0,3480.0,3480.0,1.0,1.0,16487.0,3473.0,,,0.5719754643929177,0.0,0.0,40.178696929317496,4.098360655737705,95.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,9.785339168490154,,,
current_main_12,LINK_120139,baseline,15.0,15.0,0.0,0.0,,,8.77,8.77,,882.0,8.914961185603387,327.0,14.465974076153042,3469.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_15,1452.299,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,75.8,12.0,3480.0,3480.0,1.0,1.0,16622.0,3469.0,,,0.5762387436377082,0.0,0.0,39.65759776917368,4.098360655737705,105.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,8.914961185603387,,,
current_main_12,LINK_120139,smart,15.0,15.0,0.0,0.0,,,12.34,12.34,,896.0,12.569957343083486,338.0,12.833793969511516,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_15,1393.654,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,82.9,12.0,3480.0,3480.0,1.0,1.0,16622.0,3466.0,,,0.5774568234219342,0.0,0.0,49.95927293397468,7.065573770491803,144.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,12.569957343083486,,,
