crosswalk_id,group,seed,pedestrian_crossing_count_baseline,pedestrian_clearance_failure_count_baseline,unfinished_crossing_count_baseline,ped_wait_time_mean_baseline,ped_wait_time_max_baseline,veh_delay_mean_baseline,veh_avg_delay_sec_baseline,network_avg_delay_sec_baseline,network_arrived_vehicles_baseline,local_500m_avg_delay_sec_baseline,local_500m_vehicle_count_baseline,local_500m_mean_speed_baseline,total_vehicle_arrivals_baseline,extension_count_baseline,total_extension_sec_baseline,pedestrian_green_extension_count_baseline,pet_event_count_baseline,low_pet_event_count_baseline,low_pet_per_100_crossings_baseline,pet_min_baseline,pet_p10_baseline,pet_mean_baseline,very_risky_crossing_count_baseline,risky_crossing_count_baseline,safety_risk_score_baseline,accident_risk_estimate_baseline,accident_expected_value_baseline,elderly_incomplete_crossings_baseline,pedestrian_crossing_count_smart,pedestrian_clearance_failure_count_smart,unfinished_crossing_count_smart,ped_wait_time_mean_smart,ped_wait_time_max_smart,veh_delay_mean_smart,veh_avg_delay_sec_smart,network_avg_delay_sec_smart,network_arrived_vehicles_smart,local_500m_avg_delay_sec_smart,local_500m_vehicle_count_smart,local_500m_mean_speed_smart,total_vehicle_arrivals_smart,extension_count_smart,total_extension_sec_smart,pedestrian_green_extension_count_smart,pet_event_count_smart,low_pet_event_count_smart,low_pet_per_100_crossings_smart,pet_min_smart,pet_p10_smart,pet_mean_smart,very_risky_crossing_count_smart,risky_crossing_count_smart,safety_risk_score_smart,accident_risk_estimate_smart,accident_expected_value_smart,elderly_incomplete_crossings_smart,delta_pedestrian_crossing_count,delta_pedestrian_clearance_failure_count,delta_unfinished_crossing_count,delta_ped_wait_time_mean,delta_ped_wait_time_max,delta_veh_delay_mean,delta_veh_avg_delay_sec,delta_network_avg_delay_sec,delta_network_arrived_vehicles,delta_local_500m_avg_delay_sec,delta_local_500m_vehicle_count,delta_local_500m_mean_speed,delta_total_vehicle_arrivals,delta_extension_count,delta_total_extension_sec,delta_pedestrian_green_extension_count,delta_pet_event_count,delta_low_pet_event_count,delta_low_pet_per_100_crossings,delta_pet_min,delta_pet_p10,delta_pet_mean,delta_very_risky_crossing_count,delta_risky_crossing_count,delta_safety_risk_score,delta_accident_risk_estimate,delta_accident_expected_value,delta_elderly_incomplete_crossings
LINK_120139,current_main_12,11.0,15.0,0.0,0.0,,,14.83,14.83,,854.0,14.657398101619208,336.0,12.820171359118536,3464.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,14.12,14.12,,816.0,14.01391982182628,344.0,13.054814235092326,3463.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-0.7100000000000009,-0.7100000000000009,,-38.0,-0.6434782797929284,8.0,0.2346428759737904,-1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,12.0,15.0,0.0,0.0,,,9.86,9.86,,763.0,9.978442028985508,370.0,13.71943839972988,3466.0,0.0,0.0,0.0,18.0,16.0,106.66666666666669,0.0,0.0,0.5833333333333341,15.0,1.0,1.0333333333333334,1.0333333333333334,1.0333333333333334,0.0,15.0,0.0,0.0,,,9.94,9.94,,780.0,10.121610660486676,369.0,13.06200071409024,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,0.08000000000000007,0.08000000000000007,,17.0,0.1431686315011671,-1.0,-0.6574376856396391,0.0,1.0,5.0,1.0,-2.0,0.0,0.0,0.0,0.0,-0.5833333333333341,1.0,-1.0,0.03333333333333344,0.03333333333333344,0.03333333333333344,0.0
LINK_120139,current_main_12,13.0,15.0,0.0,0.0,,,14.44,14.44,,829.0,14.343316966721222,366.0,12.34927830899644,3467.0,0.0,0.0,0.0,18.0,15.0,100.0,0.0,0.0,0.7000000000000005,15.0,0.0,1.0,1.0,1.0,0.0,15.0,0.0,0.0,,,11.3,11.3,,840.0,11.567758923346986,368.0,13.38004372209331,3468.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-3.139999999999999,-3.139999999999999,,11.0,-2.775558043374236,2.0,1.0307654130968693,1.0,1.0,5.0,1.0,-2.0,1.0,6.666666666666686,0.0,0.0,-0.7000000000000005,1.0,0.0,0.06666666666666687,0.06666666666666687,0.06666666666666687,0.0
LINK_120139,current_main_12,14.0,15.0,0.0,0.0,,,13.41,13.41,,862.0,13.333333333333334,325.0,12.813367743324754,3470.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,9.45,9.45,,867.0,9.785339168490154,318.0,14.21434588306847,3473.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-3.960000000000001,-3.960000000000001,,5.0,-3.54799416484318,-7.0,1.4009781397437155,3.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,15.0,15.0,0.0,0.0,,,8.77,8.77,,882.0,8.914961185603387,327.0,14.465974076153042,3469.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,12.34,12.34,,896.0,12.569957343083486,338.0,12.833793969511516,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,3.5700000000000003,3.5700000000000003,,14.0,3.654996157480099,11.0,-1.6321801066415258,-3.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,16.0,15.0,0.0,0.0,,,11.99,11.99,,832.0,11.8005291005291,332.0,13.37385658291332,3462.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,12.75,12.75,,872.0,12.754105138806851,349.0,12.950665864248997,3465.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,0.7599999999999998,0.7599999999999998,,40.0,0.9535760382777507,17.0,-0.4231907186643227,3.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,17.0,15.0,0.0,0.0,,,10.45,10.45,,851.0,10.663015463917526,343.0,14.524527644637114,3468.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,10.85,10.85,,856.0,10.779500320307497,347.0,14.368276368384016,3468.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,0.40000000000000036,0.40000000000000036,,5.0,0.1164848563899703,4.0,-0.15625127625309787,0.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,18.0,15.0,0.0,0.0,,,11.34,11.34,,831.0,11.015460122699388,339.0,13.147631166500528,3468.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,10.71,10.71,,860.0,10.884714193962749,340.0,13.999828666858248,3465.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-0.629999999999999,-0.629999999999999,,29.0,-0.13074592873663882,1.0,0.85219750035772,-3.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,19.0,15.0,0.0,0.0,,,10.19,10.19,,832.0,10.124802631578948,337.0,14.118306503653136,3468.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,10.41,10.41,,823.0,10.485652709359606,336.0,13.273693017109125,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,0.22000000000000064,0.22000000000000064,,-9.0,0.3608500777806576,-1.0,-0.8446134865440111,-2.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,20.0,15.0,0.0,0.0,,,10.74,10.74,,838.0,11.0824406779661,320.0,14.37480835864064,3463.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,12.19,12.19,,857.0,12.309626719056975,320.0,13.735770599758036,3463.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,1.4499999999999993,1.4499999999999993,,19.0,1.2271860410908761,0.0,-0.6390377588826048,0.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,21.0,15.0,0.0,0.0,,,12.17,12.17,,849.0,12.25913190529876,357.0,13.49067433987081,3466.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,9.72,9.72,,860.0,9.774885583524028,360.0,13.680335672553504,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-2.4499999999999993,-2.4499999999999993,,11.0,-2.484246321774732,3.0,0.18966133268269303,0.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,22.0,15.0,0.0,0.0,,,12.12,12.12,,823.0,12.187615621788282,373.0,12.696344985840236,3469.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,13.58,13.58,,839.0,13.764365041042977,372.0,11.812123100902802,3470.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,1.4600000000000009,1.4600000000000009,,16.0,1.5767494192546945,-1.0,-0.8842218849374337,1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,23.0,15.0,0.0,0.0,,,10.74,10.74,,950.0,10.752523874488404,322.0,14.45513725928438,3469.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,10.63,10.63,,934.0,10.609121851599728,328.0,14.420793255270132,3469.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-0.10999999999999943,-0.10999999999999943,,-16.0,-0.14340202288867587,6.0,-0.03434400401424753,0.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,24.0,15.0,0.0,0.0,,,10.29,10.29,,812.0,10.108695652173912,331.0,14.119708318299514,3466.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.288888888888889,16.0,2.0,1.1333333333333333,1.1333333333333333,1.1333333333333333,0.0,15.0,0.0,0.0,,,11.16,11.16,,817.0,11.194878201124297,330.0,13.666273387083224,3467.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,0.870000000000001,0.870000000000001,,5.0,1.0861825489503847,-1.0,-0.4534349312162895,1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,-0.288888888888889,0.0,-2.0,-0.06666666666666643,-0.06666666666666643,-0.06666666666666643,0.0
LINK_120139,current_main_12,25.0,15.0,0.0,0.0,,,10.32,10.32,,838.0,10.5512256442489,336.0,14.003762122349888,3465.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.1833333333333331,17.0,1.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.0,15.0,0.0,0.0,,,11.02,11.02,,832.0,11.05272945410918,343.0,13.674061325970271,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,0.6999999999999993,0.6999999999999993,,-6.0,0.5015038098602798,7.0,-0.32970079637961724,1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,-0.1833333333333331,-1.0,-1.0,-0.09999999999999987,-0.09999999999999987,-0.09999999999999987,0.0
LINK_120139,current_main_12,26.0,15.0,0.0,0.0,,,11.21,11.21,,885.0,11.211069418386492,336.0,14.233801512239811,3471.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,10.0,10.0,,886.0,9.933858764186631,336.0,13.968030469100382,3470.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-1.2100000000000009,-1.2100000000000009,,1.0,-1.2772106541998607,0.0,-0.2657710431394289,-1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,27.0,15.0,0.0,0.0,,,11.24,11.24,,870.0,11.294136392606756,330.0,14.092369405585048,3466.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,10.6,10.6,,840.0,10.972874756651526,332.0,14.154592129745549,3465.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-0.6400000000000006,-0.6400000000000006,,-30.0,-0.3212616359552296,2.0,0.062222724160500675,-1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
