횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율
5704,126.97282356363709,37.565512459135384,정동,1.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
127438,127.02318256646276,37.571388547626384,황학동,,,,0,,황학동,0.1717813302883243
5705,126.97292989850651,37.56562233300565,정동,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
5759,126.97594735574765,37.560682047937,남대문로4가,2.0,104,50.0,1,26875.559786532827,중림동,0.1901991313611407
5760,126.97531200741565,37.56073226449631,남대문로4가,4.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
5762,126.97482905539255,37.56068639188398,남대문로4가,1.0,104,30.0,0,26875.559786532827,중림동,0.1901991313611407
5765,126.97463075209211,37.560514709543654,남대문로4가,1.0,104,30.0,0,26875.559786532827,중림동,0.1901991313611407
5781,126.97351442892034,37.56306159995314,서소문동,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
5782,126.97359788084555,37.56283505407124,서소문동,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
5811,126.97503515169325,37.56335257473638,서소문동,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
5814,126.97492871188703,37.563556231427434,서소문동,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
5823,126.97161261828609,37.55944985498973,순화동,4.0,104,40.0,1,26875.559786532827,을지로동,0.15585960737656157
5825,126.97167875068403,37.55941554288556,순화동,4.0,104,40.0,0,26875.559786532827,을지로동,0.15585960737656157
127536,127.02333982554458,37.569518206184995,황학동,,,,1,,황학동,0.1717813302883243
5826,126.97393534841066,37.559660935578734,봉래동1가,1.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
5830,126.97373154540537,37.558791248064864,남대문로5가,4.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
126178,127.0124968716483,37.56481349107212,신당동,3.0,104,50.0,0,26875.559786532827,신당동,0.1998197792295562
5831,126.97389543623699,37.55870203163978,남대문로5가,4.0,104,50.0,3,26875.559786532827,중림동,0.1901991313611407
141676,126.96582090402481,37.55428653341991,만리동2가,2.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
121262,126.98091504312546,37.55494674731226,회현동1가,3.0,104,50.0,0,26875.559786532827,회현동,0.29465968586387437
126003,127.0116143808012,37.55623163561538,신당동,2.0,104,50.0,0,26875.559786532827,신당동,0.1998197792295562
126002,127.01136142835084,37.556332355708804,신당동,2.0,104,50.0,1,26875.559786532827,신당동,0.1998197792295562
