사고ID,횡단보도ID,매칭거리
2020091700100034,5831.0,3.661982823489421
2020092500100598,14954.0,2.446782814130632
2020102300100197,164569.0,12.98314382543085
2020112100100250,7855.0,33.77829205318332
2020121600100501,9628.0,18.638982687444308
2020121800100043,10383.0,38.95141230888276
2020122000100201,8378.0,68.18044162287903
2021012700100442,9103.0,10.380098447695783
2021020900100478,126002.0,41.46056493867616
2021021000100470,8339.0,18.276472871369016
2021042000100108,9628.0,21.922094404435487
2021042200100001,24600.0,55.63203527179267
2021051300100287,115695.0,3.2227450554132813
2021060100100001,7661.0,58.41152595011173
2021070900100383,8912.0,21.786294502716647
2021102100100329,6685.0,22.726771573838878
2021110300100238,6897.0,9.456618202701092
2021111200100524,71666.0,65.6243879012382
2021112500100041,9633.0,19.09162579257153
2021120100100385,125905.0,63.62504146552891
2021123100100533,20733.0,5.609218864065313
2022012500100524,8062.0,24.303689957131414
2022020300100189,125905.0,34.058274192711096
2022020600100182,6511.0,4.32689277396115
2022032600100055,8668.0,8.584645559872357
2022033100100263,15257.0,4.584869811457018
2022040700100218,73941.0,7.333834984820009
2022042200100192,7020.0,25.014966556983815
2022060300100295,6511.0,85.33405483094369
2022061500100119,14921.0,22.586029208956916
2022072800100589,6419.0,68.35278478550808
2022091500100034,7406.0,9.256001124555704
2022101900100001,8669.0,6.024979503147921
2022111100100329,8607.0,81.21568244400119
2022112200100246,6210.0,12.866431403681439
2022120300100098,7343.0,70.95321885357589
2022120800100001,8423.0,5.017447693492439
2023020300100436,5590.0,35.39939049558886
2023031200100046,125994.0,3.553215919815578
2023032000100217,21869.0,65.63924122365181
2023032300100237,72235.0,36.87707422209308
2023041200100221,6951.0,43.75835735646298
2023060900100037,6897.0,3.2195311058054004
2023070500100512,7358.0,21.592038757024874
2023071400100493,8430.0,9.116758525739804
2023080700100233,15197.0,44.519636859976664
2023083000100352,8139.0,3.2876930585053463
2023083100100038,122040.0,9.55561041670794
2023090200100173,8340.0,13.3590310193947
2023100500100535,8597.0,15.325020432720473
2023112800100299,137963.0,20.956958641650562
2023121300100173,5837.0,45.73130273729126
2023121500100084,8722.0,81.93443790655498
2023122700100165,6238.0,6.544483313559799
2024010100100256,8165.0,16.748911393418208
2024010400100209,8469.0,29.674699722423068
2024011800100147,8909.0,5.147244952348741
2024031100100194,9899.0,19.186587366896784
2024031200100106,23040.0,90.51583930768797
2024031800100543,5590.0,21.66451205231907
2024032200100132,6794.0,23.097011803960385
2024032200100291,9494.0,60.8081617639327
2024042400100031,8729.0,3.221692531275896
2024050100100489,9098.0,60.37068637874363
2024051300100163,7652.0,3.129453309915529
2024052600100058,7747.0,44.02652965997803
2024060100100193,9494.0,27.864807246415094
2024080200100273,8898.0,34.712910359260505
2024092400100082,8430.0,52.09880675906873
2024092600100402,7347.0,41.90005480747427
2024093000100441,151.0,44.758894908381826
2024110500100409,125895.0,76.5434810022787
2024111500100182,6964.0,63.58716640602021
2024120100100131,5907.0,42.62453456271728
