crosswalk_id,original_rank,real_lon,real_lat,current_sumo_lon,current_sumo_lat,generated_lon,generated_lat,mapping_distance_m,failure_category,nearest_tls_id,nearest_tls_distance_m,nearby_node_id,nearby_node_distance_m,candidate_edge_id,candidate_edge_distance_m,candidate_edge_function,candidate_edge_from_node,candidate_edge_to_node,candidate_edge_angle,candidate_rank,suggested_pair_rank,note
NODE_6425,22,126.980952454655,37.55478197888991,126.98209808402038,37.55225964125623,,,298.1,MANUAL_REVIEW_NEEDED,7265413652,66.57,10253014031,3.982,1120976138#0,6.544,normal,10253014042,10253014031,279.22,5,,real-point neighborhood; top2 usually pair seed; strategy=EXISTING_CROSSING_REMAP
NODE_6425,22,126.980952454655,37.55478197888991,126.98209808402038,37.55225964125623,,,298.1,MANUAL_REVIEW_NEEDED,7265413652,66.57,10253014030,5.189,1120976139#4,7.025,normal,10253014030,10253014044,356.98,6,,real-point neighborhood; top2 usually pair seed; strategy=EXISTING_CROSSING_REMAP
NODE_6425,22,126.980952454655,37.55478197888991,126.98209808402038,37.55225964125623,,,298.1,MANUAL_REVIEW_NEEDED,7265413652,66.57,10253014042,12.825,428544129#7,12.253,normal,2457731072,10253014042,356.91,7,,real-point neighborhood; top2 usually pair seed; strategy=EXISTING_CROSSING_REMAP
NODE_6425,22,126.980952454655,37.55478197888991,126.98209808402038,37.55225964125623,,,298.1,MANUAL_REVIEW_NEEDED,7265413652,66.57,10253014042,12.825,428544129#8,13.695,normal,10253014042,10253014033,119.41,8,,real-point neighborhood; top2 usually pair seed; strategy=EXISTING_CROSSING_REMAP
NODE_10067,23,126.9801621512504,37.559428715703774,126.98193142986533,37.560224687045206,,,179.32,LOCATION_TOO_FAR,11203052960,179.929,7300992880,22.575,921117704#0,1.33,normal,7300992880,7301015588,20.45,1,1,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_10067,23,126.9801621512504,37.559428715703774,126.98193142986533,37.560224687045206,,,179.32,LOCATION_TOO_FAR,11203052960,179.929,6036160339,832.144,640794429#1,9.695,normal,6036160339,9355249241,212.53,2,1,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_10067,23,126.9801621512504,37.559428715703774,126.98193142986533,37.560224687045206,,,179.32,LOCATION_TOO_FAR,11203052960,179.929,9355249244,1042.147,178441449#3,11.085,normal,9355249244,9355249195,24.88,3,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_10067,23,126.9801621512504,37.559428715703774,126.98193142986533,37.560224687045206,,,179.32,LOCATION_TOO_FAR,11203052960,179.929,7297194442,15.328,781586711#3,12.779,normal,7297194402,7297194442,83.19,4,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_10067,23,126.9801621512504,37.559428715703774,126.98193142986533,37.560224687045206,,,179.32,LOCATION_TOO_FAR,11203052960,179.929,9357585533,25.532,218915135#4,16.316,normal,8484958062,9357585533,198.77,5,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_10067,23,126.9801621512504,37.559428715703774,126.98193142986533,37.560224687045206,,,179.32,LOCATION_TOO_FAR,11203052960,179.929,7297194442,15.328,781586712#1,16.962,normal,7297194442,7297194402,263.19,6,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
