sim_time,crosswalk_id,tls_id,ped_link_index,current_phase_index,current_tls_state,ped_link_state,is_ped_green,is_pedestrian_only_phase,ped_near,detected_person_ids,remaining_phase_time,next_switch_time,extension_allowed,extension_decision,extension_skip_reason
11.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,69.5,81.0,False,False,scenario_baseline
11.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,67.5,79.0,False,False,scenario_baseline
11.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,26.5,38.0,False,False,scenario_baseline
12.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,67.0,79.0,False,False,scenario_baseline
12.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,67.0,79.0,False,False,scenario_baseline
12.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,67.0,79.0,False,False,scenario_baseline
12.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,69.0,81.0,False,False,scenario_baseline
12.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,67.0,79.0,False,False,scenario_baseline
12.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,26.0,38.0,False,False,scenario_baseline
12.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,66.5,79.0,False,False,scenario_baseline
12.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,66.5,79.0,False,False,scenario_baseline
12.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,66.5,79.0,False,False,scenario_baseline
12.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,68.5,81.0,False,False,scenario_baseline
12.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,66.5,79.0,False,False,scenario_baseline
12.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,25.5,38.0,False,False,scenario_baseline
13.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,66.0,79.0,False,False,scenario_baseline
13.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,66.0,79.0,False,False,scenario_baseline
13.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,66.0,79.0,False,False,scenario_baseline
13.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,68.0,81.0,False,False,scenario_baseline
13.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,66.0,79.0,False,False,scenario_baseline
13.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,25.0,38.0,False,False,scenario_baseline
13.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,65.5,79.0,False,False,scenario_baseline
13.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,65.5,79.0,False,False,scenario_baseline
13.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,65.5,79.0,False,False,scenario_baseline
13.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,67.5,81.0,False,False,scenario_baseline
13.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,65.5,79.0,False,False,scenario_baseline
13.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,24.5,38.0,False,False,scenario_baseline
14.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,65.0,79.0,False,False,scenario_baseline
14.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,65.0,79.0,False,False,scenario_baseline
14.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,65.0,79.0,False,False,scenario_baseline
14.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,67.0,81.0,False,False,scenario_baseline
14.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,65.0,79.0,False,False,scenario_baseline
14.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,24.0,38.0,False,False,scenario_baseline
14.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,64.5,79.0,False,False,scenario_baseline
14.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,64.5,79.0,False,False,scenario_baseline
14.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,64.5,79.0,False,False,scenario_baseline
14.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,66.5,81.0,False,False,scenario_baseline
14.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,64.5,79.0,False,False,scenario_baseline
14.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,23.5,38.0,False,False,scenario_baseline
15.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,64.0,79.0,False,False,scenario_baseline
15.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,64.0,79.0,False,False,scenario_baseline
15.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,64.0,79.0,False,False,scenario_baseline
15.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,66.0,81.0,False,False,scenario_baseline
15.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,64.0,79.0,False,False,scenario_baseline
15.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,23.0,38.0,False,False,scenario_baseline
15.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,63.5,79.0,False,False,scenario_baseline
15.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,63.5,79.0,False,False,scenario_baseline
15.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,63.5,79.0,False,False,scenario_baseline
15.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,65.5,81.0,False,False,scenario_baseline
15.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,63.5,79.0,False,False,scenario_baseline
15.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,22.5,38.0,False,False,scenario_baseline
16.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,63.0,79.0,False,False,scenario_baseline
16.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,63.0,79.0,False,False,scenario_baseline
16.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,63.0,79.0,False,False,scenario_baseline
16.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,65.0,81.0,False,False,scenario_baseline
16.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,63.0,79.0,False,False,scenario_baseline
16.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,22.0,38.0,False,False,scenario_baseline
16.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,62.5,79.0,False,False,scenario_baseline
16.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,62.5,79.0,False,False,scenario_baseline
16.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,62.5,79.0,False,False,scenario_baseline
16.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,64.5,81.0,False,False,scenario_baseline
16.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,62.5,79.0,False,False,scenario_baseline
16.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,21.5,38.0,False,False,scenario_baseline
17.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,62.0,79.0,False,False,scenario_baseline
17.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,62.0,79.0,False,False,scenario_baseline
17.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,62.0,79.0,False,False,scenario_baseline
17.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,64.0,81.0,False,False,scenario_baseline
17.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,62.0,79.0,False,False,scenario_baseline
17.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,21.0,38.0,False,False,scenario_baseline
17.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,61.5,79.0,False,False,scenario_baseline
17.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,61.5,79.0,False,False,scenario_baseline
17.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,61.5,79.0,False,False,scenario_baseline
17.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,63.5,81.0,False,False,scenario_baseline
17.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,61.5,79.0,False,False,scenario_baseline
17.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,20.5,38.0,False,False,scenario_baseline
18.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,61.0,79.0,False,False,scenario_baseline
18.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,61.0,79.0,False,False,scenario_baseline
18.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,61.0,79.0,False,False,scenario_baseline
18.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,63.0,81.0,False,False,scenario_baseline
18.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,61.0,79.0,False,False,scenario_baseline
