canonical_network_version,crosswalk_id,crossing_edge,tls_id,ped_link_indices,from_edge,to_edge,vehicle_conflict_edges,approach_lanes,match_distance_m,path_uses_crossing,path_uses_walkingarea,tlLogic_exists_in_net_xml,exists_in_connection_tl,is_netconvert_ghost_tls,registry_status,implementation_status,c_subtype,recovery_status,recovery_source,network_net_sha256,netconvert_options_sha256,sumo_version,netconvert_version,validated_at,validated_by,crossing_lon,crossing_lat,matched_radius_m,distance_bucket,mapping_confidence,control_mode,runnable_for_signal_extension,runnable_for_unsignalized_sim,requires_patch,interpretation_note,original_failure_reason,override_reason,notes
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7350,:414685829_c1,414685829,12|13|14|15,1455518731,1455518726,-1455518726|-1455518727#0|1455518731|1455518732|-1455518731|-1455518732|1455518726|1455518727#0,-1455518726_1|-1455518727#0_1|-1455518727#0_2|1455518731_1|1455518732_1|1455518732_2,17.826577546455525,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.0023899156634,37.564642633364016,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7358,:4276255150_c0,4276255150,2,428537726#4,-198564928#23,-198564928#24|198564928#23|-198564928#23|198564928#24,-198564928#24_1|198564928#23_1,11.820183429510111,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,126.99851790489608,37.564357538156315,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7364,:4202879197_c2,4202879197,20|21|22|23|24,381453800,117784411#0,-117784411#0|-395564622#1|-420348555#0|381453800|395564622#0|-381453800|-395564622#0|117784411#0|395564622#1|420348555#0,-117784411#0_1|-395564622#1_1|-420348555#0_1|381453800_1|395564622#0_1,136.57153135058823,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,126.99898506693336,37.56507318377694,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7365,:4276255150_c0,4276255150,2,428537726#4,-198564928#23,-198564928#24|198564928#23|-198564928#23|198564928#24,-198564928#24_1|198564928#23_1,12.497975553183364,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,126.99851790489608,37.564357538156315,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7372,:4202879197_c2,4202879197,20|21|22|23|24,381453800,117784411#0,-117784411#0|-395564622#1|-420348555#0|381453800|395564622#0|-381453800|-395564622#0|117784411#0|395564622#1|420348555#0,-117784411#0_1|-395564622#1_1|-420348555#0_1|381453800_1|395564622#0_1,127.22570961884142,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,126.99898506693336,37.56507318377694,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,73917,:436883143_c0,436883143,8|9|10,920889919,37403486#3,-37403486#3|37403486#2|-37403486#2|37403486#3,-37403486#3_1|-37403486#3_2|37403486#2_1|37403486#2_2,152.73381531830177,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,126.97651309447856,37.55486603837609,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,73919,:436883143_c0,436883143,8|9|10,920889919,37403486#3,-37403486#3|37403486#2|-37403486#2|37403486#3,-37403486#3_1|-37403486#3_2|37403486#2_1|37403486#2_2,181.46317272312115,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,126.97651309447856,37.55486603837609,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,73940,:3846493836_c2,3846493836,11|12|13,-381447823#0,-913006754#1,-381447823#0|-913006754#2|913006754#1|-913006754#1|381447823#0|913006754#2,-381447823#0_1|-913006754#2_1|-913006754#2_2|-913006754#2_3|913006754#1_1|913006754#1_2|913006754#1_3,417.9883296632053,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00388859699945,37.55897577973662,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,73941,:3846493836_c2,3846493836,11|12|13,-381447823#0,-913006754#1,-381447823#0|-913006754#2|913006754#1|-913006754#1|381447823#0|913006754#2,-381447823#0_1|-913006754#2_1|-913006754#2_2|-913006754#2_3|913006754#1_1|913006754#1_2|913006754#1_3,370.5888484946052,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00388859699945,37.55897577973662,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7396,:414685829_c3,414685829,12|13|14|15,-1455518726,-1455518731,-1455518726|-1455518727#0|1455518731|1455518732|-1455518731|-1455518732|1455518726|1455518727#0,-1455518726_1|-1455518727#0_1|-1455518727#0_2|1455518731_1|1455518732_1|1455518732_2,106.29688135030784,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.0023906394572,37.56466003906254,,,,,False,False,False,,distance_exceeded,,distance_exceeded
